광고그룹,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,-,"2,319,456",9606,0.41,262,"2,512,444"
올인원 패키지 : 업무자동화_VBA,-,"767,491",8058,1.05,296,"2,384,965"
ㅍAOP 전체_중복키워드_디자인(삭제),일러스트,"1,137,840",324,0.03,"4,842","1,568,699"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,-,"694,106",1864,0.27,631,"1,175,174"
3. html,HTML,"9,626,374",814,0.01,"1,408","1,145,903"
6. 파이썬,파이썬,"384,522",260,0.07,"3,705","964,876"
1. 코딩,코딩,"562,162",271,0.05,"3,243","879,560"
2. C언어 일반,C언어,"271,370",154,0.06,"5,269","809,358"
프로그래밍 전체_파워컨텐츠_블록체인(삭제),가상화폐,"91,369",2838,3.11,283,"803,770"
AOP 전체_중복키워드_디자인,포토샵,"1,887,822",394,0.02,"1,914","753,247"
디지털 마케팅 스쿨 13기_대표키워드,마케팅교육,"11,661",140,1.20,"5,002","702,229"
인스타그램 마케팅,인스타팔로워늘리기,"36,201",874,2.41,769,"671,803"
블록체인 신사업 시작하기,블록체인,"200,243",236,0.12,"2,722","643,478"
AOP 전체_중복키워드_비지니스,엑셀,"1,470,452",450,0.03,"1,409","633,897"
올인원 패키지 : 업무자동화_VBA,엑셀배우기,"18,588",2098,11.28,268,"562,870"
올인원 패키지 : 업무자동화_VBA,엑셀자격증,"37,558",1770,4.71,289,"511,181"
올인원 패키지 : 업무자동화_2. 파이썬,파이썬교육,"1,226",56,4.60,"8,831","498,069"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,인터넷쇼핑몰창업,"17,912",152,0.85,"3,200","487,696"
올인원 패키지 : 영상 제작/편집_6.프리미어프로,영상편집,"125,885",90,0.07,"5,367","483,032"
6. 파이썬,파이썬인강,"3,175",197,6.20,"2,431","478,467"
1. 모바일앱개발_교육,어플개발,"8,033",84,1.05,"5,428","455,939"
올인원 패키지 : UX/UI 디자인 입문_연관검색어,UIUX디자인,"9,627",119,1.23,"3,685","437,767"
1. 코딩,코딩인강,"2,503",218,8.73,"1,963","428,670"
1. 모바일앱개발_교육,앱개발,"23,962",103,0.43,"3,983","411,092"
1. 모바일앱개발_교육,어플제작,"6,496",79,1.22,"5,185","410,652"
올인원 패키지 : 데이터 분석 입문(파컨),-,"139,717",618,0.44,636,"393,327"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵,"124,068",2536,2.04,150,"381,359"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,영상편집,"10,710",278,2.60,"1,353","376,618"
1. 모바일앱개발_교육,앱제작,"4,324",79,1.83,"4,735","375,023"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력,"139,729",1535,1.10,239,"367,147"
인스타그램 마케팅,인스타팔로워,"55,806",542,0.97,656,"355,663"
JavaScript BOOT CAMP,자바스크립트,"29,305",59,0.20,"5,744","337,766"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵배우기,"12,700",1726,13.59,195,"337,117"
1. 일반_PC,게임학원,"6,163",36,0.58,"9,363","337,051"
프로그래밍 전체_파워컨텐츠_블록체인(삭제),이더리움,"39,710",1397,3.52,240,"334,961"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,머신러닝,"22,073",931,4.22,341,"317,779"
ㅍAOP 전체_중복키워드_디자인(삭제),영상제작,"62,542",49,0.08,"6,432","316,448"
디지털 마케팅 스쿨 13기_대표키워드,SNS마케팅교육,"3,378",96,2.84,"3,257","312,664"
AOP 전체_중복키워드_공통,데이터사이언스,"4,336",66,1.52,"4,624","305,195"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력2급,"88,751",1283,1.45,234,"300,058"
AOP 전체_중복키워드_프로그래밍,파이썬강좌,"3,489",38,1.10,"7,658","294,085"
003.퍼포먼스 마케팅,구글광고,"6,535",71,1.08,"4,115","291,346"
2. 프로그래밍,프로그래밍인강,"1,568",136,8.65,"2,083","282,480"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력1급,"94,757",1192,1.26,237,"282,018"
마케팅 유치원,마케팅교육,"9,161",106,1.15,"2,566","270,963"
올인원 패키지 : 업무자동화_VBA,컴퓨터자격증종류,"21,458",893,4.16,300,"267,597"
1. 모바일앱개발_교육,어플만들기,"6,353",54,0.85,"4,902","264,704"
올인원 패키지 : 업무자동화_1. 자동화,업무자동화,"11,662",49,0.42,"5,278","259,655"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵,"1,021,846",157,0.02,"1,625","255,475"
올인원 패키지 : 브랜딩,브랜딩,"35,200",98,0.28,"2,506","246,543"
ㅍ올인원 패키지 : 브랜딩,브랜딩,"35,049",107,0.30,"2,219","236,962"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,상세페이지제작,"15,835",110,0.70,"2,066","228,096"
AOP 전체_중복키워드_데이터사이언스,데이터사이언스,"3,860",50,1.31,"4,344","218,955"
8. 시스템 프로그래밍,리눅스,"281,599",86,0.03,"2,531","218,647"
AOP 전체_중복키워드_디자인,포토샵강좌,"34,653",42,0.12,"5,112","214,720"
1. 코딩,코딩프로그램,"15,300",83,0.54,"2,553","211,387"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),UIUX디자인,"6,216",73,1.18,"2,882","210,991"
올인원 패키지 : 프로그래밍 첫걸음 시작하기,-,"88,800",599,0.67,352,"210,650"
AOP 전체_중복키워드_디자인,프리미어프로,"213,033",132,0.06,"1,574","207,702"
페이스북&인스타그램 마케팅 실전,SNS마케팅교육,"1,215",78,6.42,"2,652","206,877"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,일러스트레이터,"37,912",755,1.99,270,"203,841"
Python & Django를 활용한 웹 서비스_개발자,스프링,"90,942",68,0.08,"2,957","202,290"
5. 자료구조,자료구조,"38,812",47,0.12,"4,317","202,037"
ㅍ올인원 패키지 : 브랜딩,브랜드네이밍,"5,038",88,1.74,"2,304","201,861"
fin_camp_auction_6,경매,"65,170",204,0.31,981,"200,211"
올인원 패키지 : 1인 쇼핑몰_00.창업_MO,인터넷쇼핑몰창업,"1,691",54,3.19,"3,692","199,375"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,온라인쇼핑몰창업,"7,263",79,1.09,"2,495","197,571"
AOP 전체_중복키워드_비지니스,엑셀강의,"11,848",70,0.59,"2,832","197,076"
003.퍼포먼스 마케팅,온라인마케팅교육,"2,681",73,2.73,"2,648","193,864"
올인원 패키지 : 업무자동화_2. 파이썬,파이썬강의,"1,405",40,2.82,"4,755","188,287"
타이포그래피와 편집디자인,폰트,"478,588",474,0.10,396,"187,693"
올인원 패키지 : 디지털 마케팅_1. 디지털 마케팅,온라인마케팅교육,"4,712",54,1.15,"3,460","186,846"
AOP 전체_중복키워드_마케팅,온라인마케팅,"25,645",43,0.17,"4,294","185,493"
